sqft_living,bedrooms,bathrooms,year_built,overall_quality,neighborhood,price,interest_rate,school_score
1710,3,2,2003,7,CollgCr,208320.0,5.06,8.6
1262,3,2,1976,6,Veenker,171810.0,8.23,4.9
1786,3,2,2001,7,CollgCr,217410.0,7.03,7.3
1717,3,1,1915,7,Crawfor,136130.0,6.29,6.2
2198,4,2,2000,8,NoRidge,253420.0,3.86,7.9
1362,1,1,1993,5,Mitchel,146420.0,3.86,5.3
1694,3,2,2004,8,Somerst,312040.0,3.32,8.3
2090,3,2,1973,7,NWAmes,191720.0,7.76,7.4
1774,2,2,1931,7,OldTown,125970.0,6.31,8.6
1077,2,1,1939,5,BrkSide,112330.0,6.89,5.5
1040,3,1,1965,5,Sawyer,135170.0,3.11,4.8
2324,4,3,2005,9,NridgHt,335010.0,8.33,10.0
912,2,1,1962,5,Sawyer,136260.0,7.58,6.2
1494,3,2,2006,7,CollgCr,281990.0,4.17,5.8
1253,2,1,1960,6,NAmes,160000.0,4.0,6.6
854,2,1,1929,7,BrkSide,134970.0,4.01,7.7
1004,2,1,1970,6,NAmes,149990.0,4.67,5.7
1296,2,2,1967,4,Sawyer,87330.0,5.89,5.4
1114,3,1,2004,5,SawyerW,157860.0,5.38,4.8
1339,3,1,1958,5,NAmes,140200.0,4.6,5.1
2376,4,3,2005,8,NridgHt,321190.0,6.37,7.8
1108,3,1,1930,7,IDOTRR,143090.0,3.77,7.0
1795,3,2,2002,8,CollgCr,231170.0,4.61,6.9
1060,3,1,1976,5,MeadowV,129870.0,5.01,3.6
1060,3,1,1968,5,Sawyer,152470.0,5.51,6.6
1600,3,2,2007,8,NridgHt,249340.0,7.32,7.2
900,3,1,1951,5,NAmes,137500.0,4.1,4.0
1704,3,2,2007,8,NridgHt,303510.0,5.83,5.8
1600,2,1,1957,5,NAmes,203720.0,6.26,4.4
520,1,1,1927,4,BrkSide,73720.0,3.26,2.7
1317,3,1,1920,4,IDOTRR,35980.0,6.34,5.6
1228,3,1,1966,5,Sawyer,152530.0,3.94,6.0
1234,3,2,2007,8,CollgCr,184820.0,3.36,7.3
1700,4,1,1959,5,NAmes,155840.0,8.22,7.3
1561,2,2,2005,9,NridgHt,267570.0,8.31,10.0
2452,4,3,2004,8,NridgHt,301650.0,7.45,7.7
1097,3,1,1994,5,CollgCr,145960.0,4.68,2.5
1297,3,1,1954,5,NAmes,157380.0,3.54,7.3
1057,3,1,1953,5,NAmes,103720.0,6.76,3.6
1152,2,2,1955,4,Edwards,80740.0,5.42,2.4
1324,3,2,1965,6,NAmes,163990.0,3.67,7.0
1328,2,1,1959,5,Timber,167840.0,5.72,7.4
884,2,1,1983,5,SawyerW,149430.0,3.19,6.4
938,3,1,1975,5,CollgCr,121250.0,8.0,5.6
1150,3,1,1959,5,NAmes,142740.0,4.42,5.6
1752,2,2,2005,9,NridgHt,314980.0,6.64,9.9
2149,1,1,2003,7,Mitchel,240556.0,4.71,7.8
1656,3,2,2006,8,Somerst,247120.0,5.86,8.3
1452,2,2,1920,4,OldTown,109970.0,6.01,4.1
955,3,1,1966,5,Sawyer,129940.0,4.02,4.9
1470,3,2,1997,6,Gilbert,167010.0,8.33,5.2
1176,3,1,1934,6,BrkSide,107720.0,7.26,5.7
816,2,1,1963,5,IDOTRR,100490.0,8.17,3.3
1842,0,0,1981,9,Veenker,376240.0,7.92,8.9
1360,3,1,1955,5,NAmes,126130.0,6.29,4.0
1425,3,2,1964,6,NAmes,171290.0,8.07,4.9
1739,3,2,1999,8,Somerst,177030.0,3.49,8.2
1720,3,2,2004,7,CollgCr,199260.0,4.08,8.4
2945,3,3,2006,10,StoneBr,444030.0,3.25,10.0
780,2,1,1972,5,CollgCr,125530.0,4.79,3.4
1158,3,1,2004,6,SawyerW,157580.0,5.14,5.0
1111,3,1,1920,5,IDOTRR,102530.0,4.49,5.9
1370,2,2,2006,8,NridgHt,194820.0,7.56,7.0
1710,3,2,1921,7,OldTown,140120.0,4.96,6.8
2034,3,2,1997,7,CollgCr,220850.0,4.55,7.6
2473,4,2,2004,8,NridgHt,314060.0,5.98,7.0
2207,3,2,1970,7,NAmes,183660.0,3.78,7.1
1479,3,2,2003,7,CollgCr,218770.0,7.41,5.7
747,2,1,1945,4,OldTown,84770.0,3.41,3.4
2287,3,2,1953,7,ClearCr,214710.0,8.43,7.3
2223,3,2,1973,7,NAmes,237250.0,7.25,5.4
845,2,1,1982,4,Mitchel,132230.0,4.09,4.4
1718,3,2,1998,7,Gilbert,190910.0,3.03,7.0
1086,3,1,1954,5,NAmes,137430.0,7.49,5.6
1605,3,2,1915,3,OldTown,101730.0,6.89,3.2
988,2,1,1973,4,MeadowV,84970.0,7.01,5.4
952,2,1,1956,4,NAmes,129030.0,7.24,4.1
1285,2,1,1948,5,BrkSide,131770.0,3.41,4.6
1768,4,2,1968,4,Sawyer,136590.0,4.97,4.1
1230,2,1,1910,5,OldTown,114080.0,3.64,5.5
2142,4,2,1968,6,NAmes,185250.0,7.75,6.0
1337,2,2,1998,6,Mitchel,149210.0,6.43,6.0
1563,3,2,2007,8,Somerst,245540.0,4.82,7.3
1065,3,1,1960,5,NAmes,131450.0,3.35,4.3
1474,3,2,1995,7,Gilbert,169370.0,4.71,5.6
2417,4,2,1991,8,NoRidge,260630.0,4.79,9.7
1560,3,2,2005,6,Gilbert,167970.0,7.01,4.8
1224,2,2,2009,6,Somerst,159970.0,6.51,5.3
1526,2,1,1915,3,IDOTRR,76360.0,7.88,2.3
990,3,1,1994,4,CollgCr,121800.0,5.6,4.9
1040,2,1,1950,4,NAmes,113920.0,3.66,3.7
1235,2,1,1961,5,NAmes,92840.0,6.92,6.2
964,2,1,1921,5,Crawfor,156960.0,7.18,4.3
2291,4,2,1910,6,OldTown,130630.0,6.09,6.3
1786,3,2,1997,6,CollgCr,198030.0,7.24,5.2
1470,3,2,1993,6,Gilbert,182840.0,5.72,8.1
1588,3,2,1999,7,CollgCr,211360.0,5.88,5.8
960,3,1,1965,4,Edwards,93700.0,5.35,4.3
835,2,1,1920,5,Edwards,88580.0,3.14,5.6
1225,3,1,1959,4,NAmes,133180.0,3.59,4.4
1610,3,2,1977,6,NWAmes,210490.0,3.17,5.8
1732,3,2,1985,6,SawyerW,173500.0,6.5,5.9
1535,4,2,1979,5,SawyerW,119774.0,4.73,5.0
1226,3,2,2009,7,CollgCr,196500.0,5.8,6.9
1818,4,1,1931,7,IDOTRR,160530.0,7.99,8.0
1992,3,2,2003,8,Somerst,251890.0,4.37,10.0
1047,2,1,1885,4,OldTown,99220.0,5.26,3.4
789,2,1,1948,5,OldTown,108520.0,7.16,3.6
1517,3,2,1919,5,IDOTRR,117220.0,4.26,4.9
1844,3,2,1977,6,NWAmes,194740.0,3.42,8.6
1855,4,2,1954,6,Edwards,138130.0,4.59,5.2
1430,3,2,2000,7,Gilbert,183330.0,3.89,8.6
2696,4,2,2007,7,CollgCr,374640.0,8.11,8.7
2259,3,2,1953,6,Crawfor,209680.0,7.44,5.4
2320,3,2,1945,6,Crawfor,255060.0,6.48,6.6
1458,2,2,1999,6,Somerst,167630.0,7.79,7.6
1092,3,1,1962,5,Sawyer,131740.0,7.42,4.6
1125,2,1,2006,5,Edwards,157910.0,4.03,4.8
3222,5,3,1990,7,SawyerW,311270.0,7.91,6.4
1456,3,2,2005,6,CollgCr,161080.0,5.97,5.0
988,1,1,1969,6,ClearCr,172680.0,7.44,5.4
1123,3,1,1939,4,IDOTRR,91210.0,7.93,2.8
1080,3,1,1958,6,NAmes,136750.0,4.75,6.0
1199,2,2,1993,6,SawyerW,158070.0,3.61,5.2
1586,3,2,1979,6,NWAmes,183250.0,4.25,6.2
754,2,1,1935,6,IDOTRR,83450.0,5.35,4.4
958,2,2,1976,6,NPkVill,120500.0,7.5,6.3
840,3,1,1930,5,OldTown,78810.0,7.73,5.8
1348,3,1,1966,6,NAmes,160880.0,3.04,4.0
1053,3,1,1958,5,NAmes,147570.0,5.81,5.4
2157,4,2,1966,7,NAmes,225100.0,5.3,8.2
2054,3,2,2000,6,Gilbert,246340.0,4.22,4.8
1327,3,1,1959,5,NAmes,154770.0,3.66,6.7
1296,2,2,2001,8,Timber,220420.0,4.86,8.4
1721,3,2,1968,5,Sawyer,170430.0,8.19,4.3
1682,3,2,1970,7,NWAmes,174660.0,4.78,6.9
1214,3,2,1967,5,NAmes,140450.0,5.85,5.6
1959,5,3,1988,7,Mitchel,165390.0,6.87,7.1
1852,3,2,1999,8,CollgCr,230000.0,5.0,8.5
1764,3,2,1997,6,CollgCr,221480.0,8.34,5.1
864,3,1,1971,4,NAmes,105130.0,8.29,4.2
1734,3,2,2005,7,CollgCr,261860.0,4.38,5.6
1385,4,2,1952,5,NAmes,163810.0,5.73,4.9
1501,3,2,1999,7,CollgCr,205050.0,4.65,6.1
1728,6,2,1963,5,Sawyer,126290.0,4.57,4.3
1709,3,2,2004,6,Edwards,135400.0,3.2,7.2
875,2,1,1931,5,BrkSide,100950.0,6.35,6.1
2035,3,2,2001,7,Gilbert,220220.0,5.76,7.6
1080,3,1,2004,7,SawyerW,146160.0,3.28,5.9
1344,3,1,1936,5,BrkSide,116410.0,4.53,4.7
969,3,1,1975,5,CollgCr,113000.0,8.0,6.2
1710,2,2,2007,8,NridgHt,374442.0,4.32,8.1
1993,4,2,1971,6,NWAmes,193600.0,3.8,8.3
1252,1,1,1960,6,ClearCr,232930.0,5.69,6.4
1200,4,1,1923,6,OldTown,114740.0,8.42,6.2
1096,2,1,1924,6,Edwards,81010.0,4.33,5.7
1040,2,1,1950,5,NAmes,104400.0,6.7,5.1
1968,4,2,2009,8,Timber,262930.0,7.19,7.8
1947,3,2,2004,7,Somerst,256970.0,4.31,7.7
2462,4,2,2005,7,Gilbert,313970.0,7.01,8.0
1232,3,2,1984,6,Veenker,162440.0,5.02,5.2
2668,3,2,2003,9,NridgHt,408060.0,6.48,7.7
1541,3,2,2005,7,NridgHt,215560.0,6.48,5.2
882,1,1,1956,4,OldTown,100350.0,5.95,4.5
1616,3,2,1926,6,OldTown,156500.0,3.5,4.9
1355,4,2,1940,5,Edwards,119730.0,7.59,2.8
1867,2,1,1955,5,ClearCr,190720.0,4.76,5.4
2161,3,1,2007,8,NridgHt,328534.0,4.03,10.0
1720,3,2,2004,7,Gilbert,188840.0,3.22,7.0
1707,2,2,1981,8,Timber,224250.0,6.25,8.8
1382,2,1,1941,5,OldTown,123310.0,6.73,5.1
1656,3,1,1960,6,NAmes,220730.0,3.09,5.9
1767,2,2,1987,7,StoneBr,236540.0,5.82,7.9
1362,3,1,1961,6,NAmes,165250.0,4.25,5.7
1651,3,2,1986,6,Timber,179350.0,6.55,6.3
2158,4,2,1950,6,Edwards,246120.0,3.96,6.3
2060,4,2,1988,6,ClearCr,205600.0,6.8,5.3
1920,4,2,1958,5,Sawyer,172110.0,5.13,6.0
2234,1,2,2008,9,StoneBr,492387.0,8.15,8.8
968,2,1,1923,5,OldTown,103720.0,3.76,4.2
1525,3,2,2000,6,Somerst,177360.0,4.88,6.5
1802,4,1,1920,7,Crawfor,204240.0,3.62,6.1
1340,3,1,1957,5,Edwards,110730.0,8.09,5.0
2082,3,2,2003,7,OldTown,191510.0,7.83,7.0
1252,3,1,1908,5,BrkSide,128740.0,4.42,6.1
3608,4,2,1892,10,OldTown,470110.0,6.63,10.0
1217,3,2,1990,7,Mitchel,165530.0,7.49,7.0
1656,3,2,1916,5,OldTown,131850.0,6.05,5.8
1224,2,0,1979,5,SawyerW,150607.0,5.91,6.4
1593,0,1,2001,8,StoneBr,288010.0,4.33,8.6
2727,3,2,1932,8,Crawfor,319470.0,3.51,8.0
1479,4,1,1972,7,NAmes,175210.0,7.93,5.7
1431,3,2,1999,7,CollgCr,183150.0,7.95,5.9
1709,3,2,2004,7,Edwards,125560.0,6.48,6.7
864,3,1,1972,5,CollgCr,127420.0,4.86,4.4
1456,3,2,1976,6,NPkVill,148740.0,4.92,5.8
1726,3,2,2007,7,Somerst,305902.0,6.99,7.1
3112,4,2,1918,8,NAmes,226210.0,7.93,8.5
2229,5,1,1912,6,OldTown,95360.0,7.88,5.9
1713,3,2,2004,8,NridgHt,268030.0,7.29,8.5
1121,2,2,2003,4,Edwards,135410.0,6.53,4.1
1279,3,2,1977,6,Mitchel,176120.0,3.46,4.0
1310,2,2,1924,6,OldTown,115330.0,3.89,5.1
848,1,1,2004,6,CollgCr,140180.0,7.94,5.9
1284,2,1,1947,5,OldTown,105980.0,6.34,3.8
1442,3,2,1990,7,Gilbert,186350.0,3.05,7.6
1696,3,1,1962,5,Sawyer,148220.0,3.56,6.5
1100,3,1,1960,4,NAmes,136050.0,6.65,5.2
2062,3,2,1988,7,SawyerW,282910.0,3.03,6.8
1092,3,1,1964,6,NAmes,148360.0,3.88,7.5
864,2,1,1925,5,Edwards,94940.0,6.02,5.1
1212,3,2,2009,6,Edwards,180570.0,6.81,5.7
1852,3,2,2009,7,Somerst,247908.0,6.59,6.4
990,3,1,1995,5,CollgCr,158310.0,4.23,4.7
1392,3,1,1977,6,CollgCr,155990.0,6.92,5.6
1236,2,1,1957,5,NAmes,136550.0,4.3,5.2
1436,3,2,2004,7,CollgCr,210630.0,4.79,7.2
1328,3,1,1925,4,OldTown,100670.0,7.11,4.0
1954,3,1,1939,7,Crawfor,306790.0,6.57,7.4
1248,2,2,2005,7,Blmngtn,159230.0,7.67,8.2
1498,2,2,2006,7,CollgCr,200040.0,6.62,7.9
2267,4,2,2002,6,Gilbert,196610.0,6.13,4.5
1552,3,2,1975,6,NWAmes,184340.0,3.52,3.4
864,2,1,1971,4,NAmes,96940.0,5.02,4.9
2392,3,2,2003,10,NridgHt,387870.0,4.46,8.6
1302,3,2,1971,5,BrDale,113980.0,4.34,4.8
2520,4,2,1995,7,NoRidge,279950.0,8.35,5.8
987,2,1,1970,6,BrDale,105520.0,5.16,4.2
912,3,1,1967,5,Sawyer,116270.0,7.91,5.5
1555,2,2,2005,7,Blmngtn,188090.0,6.47,7.8
1194,3,1,1959,6,NAmes,140890.0,7.37,5.4
2794,4,2,1995,8,NoRidge,400720.0,5.76,5.4
987,2,1,1972,6,BrDale,90990.0,6.17,5.5
894,3,1,1976,5,CollgCr,126070.0,5.71,5.4
1960,4,2,2002,6,Gilbert,219290.0,4.07,4.5
987,2,1,1971,6,BrDale,83590.0,6.97,6.2
1414,3,2,2004,7,CollgCr,186880.0,4.54,7.0
1744,3,2,1993,7,SawyerW,200110.0,3.13,7.6
1694,3,2,2007,8,NridgHt,313350.0,6.55,8.1
1487,3,1,1945,6,Edwards,116090.0,3.97,5.0
1566,3,2,2008,8,Somerst,252990.0,8.17,9.2
866,2,1,1945,5,OldTown,100750.0,8.25,4.8
1440,3,1,1900,5,OldTown,69910.0,8.03,5.0
1217,3,1,1980,6,SawyerW,119880.0,5.04,5.1
2110,3,2,1994,7,SawyerW,210730.0,3.09,6.6
1872,3,2,1988,7,NWAmes,232170.0,8.11,6.1
1928,4,2,1910,6,OldTown,135920.0,5.36,5.8
1375,2,1,1954,6,NAmes,130040.0,8.32,7.7
1668,3,2,2003,7,CollgCr,170100.0,8.3,5.6
2144,4,2,1958,6,ClearCr,268930.0,7.69,4.4
1306,3,1,1940,3,BrkSide,77640.0,4.62,4.5
1625,2,2,2006,8,Crawfor,234640.0,5.12,7.8
1640,3,2,2004,6,SawyerW,164960.0,7.68,5.3
1302,3,2,1964,6,NAmes,158780.0,4.74,7.0
1314,3,1,1957,5,NAmes,148210.0,3.93,4.4
2291,4,2,1999,7,Gilbert,226820.0,6.06,8.8
1728,3,2,2003,6,Somerst,198050.0,8.15,6.7
1604,3,2,2006,7,CollgCr,214510.0,6.83,6.5
1792,3,2,2001,7,CollgCr,228080.0,6.14,9.2
882,2,1,1956,5,OldTown,101410.0,3.53,4.4
1382,3,1,1962,6,NAmes,171860.0,6.38,6.7
2574,3,2,2007,8,CollgCr,265650.0,8.45,8.3
1212,3,1,1977,6,Sawyer,154690.0,3.77,7.3
1316,3,1,1929,5,OldTown,127450.0,5.85,6.6
764,2,1,1925,5,OldTown,64510.0,7.83,5.0
1422,3,2,1981,6,NWAmes,169290.0,7.07,5.2
1511,3,2,1997,6,Gilbert,179510.0,6.83,6.5
2192,4,2,1939,5,SWISU,173920.0,6.86,4.3
778,2,1,1940,5,IDOTRR,120560.0,4.98,7.0
1113,3,1,1976,6,Edwards,149170.0,4.61,6.1
1939,3,2,2006,8,Somerst,258650.0,7.45,7.6
1363,2,1,1954,7,ClearCr,234120.0,7.46,7.2
2270,4,2,1999,8,NoRidge,281690.0,7.77,6.7
1632,3,2,1958,6,NAmes,129940.0,8.02,5.0
816,2,1,1982,5,Mitchel,122070.0,5.81,6.2
1548,3,2,1925,7,BrkSide,202720.0,5.76,6.3
1560,3,2,2003,7,Mitchel,193830.0,7.39,6.0
864,2,1,1951,4,Gilbert,136290.0,6.57,4.5
2121,3,2,2006,9,NridgHt,409718.0,6.86,10.0
2022,4,2,1977,7,ClearCr,184860.0,7.38,7.7
1982,3,2,1989,7,SawyerW,219800.0,7.9,8.0
1262,2,2,2006,6,Somerst,185420.0,4.86,5.2
1314,2,2,2007,7,NridgHt,207290.0,5.07,5.6
1468,3,2,2008,8,Somerst,249040.0,3.52,9.5
1575,2,2,1992,6,SawyerW,175660.0,6.18,5.7
1250,2,2,2006,7,Somerst,170100.0,3.2,6.7
1734,3,1,1962,6,NAmes,157320.0,5.56,7.3
858,3,1,1971,4,NAmes,85060.0,5.98,4.6
900,3,1,1967,5,Sawyer,123260.0,4.58,5.5
1396,3,1,1915,6,BrkSide,149825.0,6.25,8.2
1919,3,2,2006,8,CollgCr,238720.0,3.17,7.4
1716,6,2,1912,5,SWISU,141270.0,3.21,5.9
1716,3,1,1949,5,Edwards,123440.0,7.52,5.1
2263,3,2,1977,7,NWAmes,235060.0,4.98,7.3
1644,3,1,1953,6,NAmes,170900.0,3.7,7.5
1003,3,1,1984,6,Mitchel,139890.0,5.87,6.5
1558,4,1,1950,5,IDOTRR,145310.0,7.23,5.5
1950,3,2,1997,7,Somerst,241430.0,4.19,8.1
1743,3,1,1968,6,NWAmes,170710.0,6.43,5.6
1152,3,1,1950,6,Crawfor,163090.0,3.47,5.2
1336,2,1,1953,5,Crawfor,162160.0,3.28,4.0
2452,4,2,1998,8,CollgCr,264240.0,5.92,6.0
1541,3,2,2001,7,CollgCr,202090.0,5.97,9.1
894,3,1,1972,5,CollgCr,145370.0,6.51,3.9
3493,3,3,1880,7,OldTown,289030.0,6.99,6.8
2000,3,2,2004,8,CollgCr,295790.0,8.37,7.7
2243,4,2,1990,7,SawyerW,222480.0,5.84,7.3
1406,3,1,1920,6,IDOTRR,90160.0,4.78,6.8
861,1,1,1940,4,Edwards,75390.0,7.37,4.9
1944,3,2,2003,9,NridgHt,361530.0,4.49,8.4
1501,3,2,1993,6,Gilbert,164370.0,5.41,5.8
972,2,1,1948,6,NAmes,136710.0,3.43,6.3
1118,3,1,1939,5,OldTown,125480.0,3.14,4.8
2036,3,2,1965,7,Timber,365130.0,8.29,8.6
1641,3,1,1925,7,OldTown,170200.0,7.6,7.5
1432,3,2,2004,7,Gilbert,183010.0,6.83,7.7
2353,4,2,1980,7,NWAmes,259250.0,5.25,7.7
1959,3,2,2006,8,Somerst,273150.0,3.95,9.2
2646,4,2,1993,7,NoRidge,263420.0,3.86,7.2
1472,3,2,1980,7,NWAmes,189360.0,4.38,5.7
2596,4,3,2006,9,NridgHt,339583.0,6.02,9.4
2468,4,2,2004,8,NridgHt,348210.0,6.93,7.3
2730,4,2,1986,7,SawyerW,296110.0,6.63,6.5
1163,3,1,1955,3,OldTown,127555.0,4.54,3.6
2978,5,2,1967,7,NAmes,232250.0,8.25,8.2
803,2,1,1941,5,IDOTRR,80820.0,7.06,5.0
1719,1,1,1993,8,Veenker,320850.0,6.05,8.3
1383,3,1,1960,6,NAmes,141170.0,6.36,7.7
2134,5,2,1916,6,BrkSide,213570.0,5.31,6.2
1192,3,1,1920,5,IDOTRR,79920.0,4.36,7.6
1728,6,2,1964,5,NAmes,119120.0,4.96,5.6
1056,3,1,1958,5,NAmes,132490.0,7.17,3.2
1629,3,2,2003,8,NridgHt,289760.0,3.08,8.8
1358,2,2,2004,7,NridgHt,211080.0,3.64,7.4
1638,3,2,1998,6,Gilbert,197250.0,3.25,7.3
1786,3,2,1965,5,Timber,234290.0,3.22,5.7
1922,3,2,2005,9,StoneBr,369296.0,7.71,8.9
1536,3,2,2002,7,CollgCr,208390.0,6.87,5.8
1621,3,2,1984,7,NWAmes,200670.0,5.61,6.8
1215,3,1,1958,6,NAmes,159380.0,3.54,5.1
1908,4,2,2002,8,Timber,200800.0,5.7,7.4
841,2,1,1950,4,SawyerW,80200.0,5.6,4.6
1040,2,2,1949,3,NAmes,90650.0,3.95,4.7
1684,2,2,2005,9,NridgHt,264830.0,5.39,9.4
1112,3,1,1976,5,MeadowV,84430.0,5.19,3.8
1577,3,1,1939,6,BrkSide,136030.0,6.39,6.4
958,2,1,1960,6,NAmes,147030.0,6.49,7.2
1478,3,2,1960,6,NAmes,162750.0,3.25,5.4
1626,2,2,2003,7,NridgHt,153820.0,5.06,6.9
2728,4,2,2005,9,NridgHt,432834.0,6.44,9.0
1869,2,2,2007,9,NridgHt,315751.0,5.77,8.2
1453,2,1,1986,7,ClearCr,181870.0,7.71,7.6
1111,3,1,1941,5,Edwards,90140.0,6.62,4.9
720,2,1,1928,6,OldTown,109200.0,3.9,6.4
1595,2,1,1940,6,SWISU,144830.0,3.39,5.1
1200,3,2,1995,6,CollgCr,172910.0,6.53,5.6
1167,3,2,1992,6,Gilbert,178550.0,3.15,6.7
1142,3,1,1976,5,MeadowV,130340.0,6.22,4.6
1352,3,1,1958,5,ClearCr,120490.0,8.17,6.7
1924,3,2,1998,8,NoRidge,276490.0,6.17,7.6
912,2,1,1978,6,Mitchel,155610.0,5.13,6.2
1505,3,1,1940,5,BrkSide,140380.0,6.54,5.9
